매장명,매장주소
본 죽&비빔밥 위례역점,"경기도 성남시 수정구 위례광장로 21-6 (창곡동, 정프라자) 103호"
본 죽&비빔밥 수원탑동점,경기도 수원시 권선구 탑동로 61 (탑동)
본 죽&비빔밥 오산시청점,"경기도 오산시 성호대로 123 (오산동, 오산그린프라자) 102호 1층"
본설렁탕 판교테크노밸리점,"경기도 성남시 분당구 판교역로 231 (삼평동, 에이치스퀘어 에스동) 1층 131호"
본죽 김포마산점,경기도 김포시 김포한강8로 167 (마산동) 이루프라자 105호
본 죽&비빔밥 동삭센트럴자이점,"경기도 평택시 상서재로 55 (동삭동, 평택센트럴자이3단지)"
본도시락 남양주진접점,경기도 남양주시 진접읍 해밀예당3로 93 (리원프라자)
본 죽&비빔밥 광교법조타운점,경기도 수원시 영통구 광교중앙로248번길 40 (하동) 101호 (광교스마트법조프라자)
본 죽&비빔밥 동탄호수공원점,경기도 화성시 동탄순환대로 127-5 (산척동) 1층
본도시락 수원성균관대점,"경기도 수원시 장안구 서부로2126번길 30 (율전동, 삼전상가) 삼전상가 나동9호"
본도시락 분당서현점,"경기도 성남시 분당구 황새울로312번길 20 (서현동, 분당태성빌딩) 1층"
본 죽&비빔밥 안산반월역점,"경기도 안산시 상록구 건건로 123 (건건동, 한맥빌딩) 3층"
본도시락 광교법조타운점,경기도 수원시 영통구 광교중앙로248번길 40 (하동) 광교스마트법조프라자 119호
본도시락 수원경기대점,경기도 수원시 영통구 대학4로 38 (이의동)
본 죽&비빔밥 동탄산척점,경기 화성시 동탄순환대로 253 (산척동) 모닝그레이스빌딩 107호
본 죽&비빔밥 용인흥덕점,"경기도 용인시 기흥구 흥덕중앙로 59 (영덕동, 용인흥덕노블레스흥덕노블레스) 1층"
본 죽&비빔밥 동탄목동점,경기도 화성시 왕배산2길 4-16 (목동)
본 죽&비빔밥 신중동점,"경기도 부천시 중동로248번길 86 (중동, 탑프라자) 104호"
본죽 시흥은행점,"경기도 시흥시 대은로 92 (은행동, 대양빌딩) 103호"
본 죽&비빔밥 수원호매실화홍병원점,경기도 수원시 권선구 호매실로90번길 86 (호매실동) 호매실가든주차타워 104호
본 죽&비빔밥 경기안성점,경기도 안성시 백성1길 20 (대천동)
본 죽&비빔밥 파주야당역점,경기도 파주시 경의로 1056 (야당동) 아이플랙스 1층 115호
본죽 광주쌍령점,"경기도 광주시 경충대로 1430 (쌍령동, 대광로제비앙) (B06호)"
본죽 구리수택점,경기도 구리시 검배로 55 (수택동) 102호
본도시락 양주옥정점,경기도 양주시 옥정로 147 (옥정동)
본 죽&비빔밥 파주금촌점,"경기도 파주시 중앙로 303 (금촌동, 재성빌딩)"
본 죽&비빔밥 안성당왕점,"경기도 안성시 고수2로 18 (당왕동, 대우경남아파트) 대우경남아파트 상가 103, 104호"
본죽 백현점,"경기도 성남시 분당구 동판교로 58 (백현동, 나이스프라자) 나이스프라자 1층"
본 죽&비빔밥 동탄점,"경기도 화성시 동탄반석로 196 (반송동, 아이프라자) 114호"
본 죽&비빔밥 성남금광점,"경기도 성남시 중원구 광명로 325 (금광동, 대성빌딩) 1층"
본도시락 부천중동점,"경기도 부천시 신흥로 173 (중동, 중동아크로텔) 112호"
본죽 평택이충2지구점,"경기도 평택시 이충로35번길 22 (이충동, 뜨란프라자) 105호"
본도시락 광교중앙점,"경기도 수원시 영통구 센트럴타운로 107 (이의동, 광교푸르지오월드마크) 204동 제B25호"
본도시락 파주금릉점,경기도 파주시 금빛로 12 삼성프라자 101호
본죽 서동탄역점,경기도 화성시 남여울3길 3 (능동) 108호
본도시락 포천이동점,"경기도 포천시 이동면 화동로 2058 ,1층"
본죽 수원신동점,경기도 수원시 영통구 삼성로 11 래미안 영통마크원 2단지 215동 108호
본죽 남양주사능점,경기도 남양주시 진건읍 진건오남로 75
본도시락 구리수택점,경기도 구리시 검배로 55 (수택동) 하이스트빌 1층 109호
본죽 의정부성모병원점,경기도 의정부시 금오로 121-8 (금오동)
본 죽&비빔밥 평촌스마트스퀘어점,"경기도 안양시 동안구 시민대로327번길 7 (관양동, 대명글로벌비즈스퀘어 125호)"
본죽 시흥시화병원점,경기도 시흥시 정왕대로 64 메가쇼핑몰 117호
본죽 산본점,경기도 군포시 번영로 505 산본대우디오플러스 103호
