,매장명,매장주소,lat,lng
117,본 죽&비빔밥 대흥역점,"서울특별시 마포구 대흥로 79 (대흥동, 동양엔파트) 상가동 108호",37.547484,126.9412488
118,본 죽&비빔밥 상일동역점,"서울특별시 강동구 고덕로 385 (고덕동, 고덕그라시움아파트(상가4동)) 고덕그라시움 4-복합상가동 215호",37.5573672,127.1684125
119,본 죽&비빔밥 연세세브란스빌딩점,"서울특별시 중구 통일로 10 (남대문로5가, 연세대학교세브란스빌딩) 지하 1층",37.5570913,126.9736575
120,본 죽&비빔밥 장승배기역점,"서울특별시 동작구 장승배기로11가길 11 (상도동, 상도파크자이) 1층",37.5058647,126.9384711
121,본 죽&비빔밥 가산테라타워점,서울특별시 금천구 디지털로10길 78 (가산동) 가산테라타워 1층 122호,37.4745451,126.8897367
122,본 죽&비빔밥 세곡점,"서울특별시 강남구 헌릉로569길 9 (세곡동, 강남지웰파인즈) 106호",37.4667896,127.1007772
123,본 죽&비빔밥 마곡나루역점,"서울특별시 강서구 마곡중앙로 161-8 (마곡동, 두산더랜드파크) A동 105호",37.5688514,126.8273386
124,본도시락 고대구로병원점,서울특별시 구로구 구로동로25길 21 (구로동),37.4904803,126.8827825
125,본도시락 신내점,"서울특별시 중랑구 신내역로 213 (신내동, 신내우디안프라자) 103호",37.6198603,127.106475
126,본도시락 보라매점,서울특별시 동작구 상도로 42 (대방동) 1층 2호,37.4996018,126.9251751
127,본도시락 위례중앙점,"서울특별시 송파구 위례광장로 120 (장지동, 위례중앙푸르지오1단지) B05-1",37.4748656,127.1415892
128,본 죽&비빔밥 충정로브라운스톤점,"서울특별시 중구 청파로 464 (중림동, 브라운스톤서울) 110호",37.5609183,126.9683304
129,본도시락 공릉점,"서울특별시 노원구 공릉로46길 18 (공릉동, 윤탁노블레스) 103호",37.6272157,127.0800055
130,본 죽&비빔밥 숙대입구역점,서울특별시 용산구 청파로47길 21 (청파동2가),37.5446912,126.9692113
131,본 죽&비빔밥 한남순천향병원점,"서울특별시 용산구 대사관로 63 (한남동, 한남치과)",37.5334811,127.0052868
132,본도시락 동국대점,서울특별시 중구 퇴계로50가길 6-9 (묵정동),37.5611813,127.0015433
133,본도시락 동여의도점,"서울특별시 영등포구 여의대방로70길 7 (여의도동, 한송빌딩) 1층",37.5189705,126.932984
134,본 죽&비빔밥 삼성역점,"서울특별시 강남구 테헤란로88길 10 (대치동, 신안메트로칸) B109",37.5068487,127.0594706
135,본 죽&비빔밥 포이점,"서울특별시 서초구 마방로10길 18-1 (양재동, 남광빌딩)",37.4764474,127.0437251
136,본 죽&비빔밥 낙성대점,서울특별시 관악구 솔밭로 2 (봉천동),37.4778443,126.9626883
137,본죽 수락산역점,"서울특별시 노원구 동일로 1701 (상계동, 희성오피앙) 1층 108호",37.6803112,127.0549036
138,본도시락 미아사거리점,서울특별시 성북구 종암로40길 42 (하월곡동),37.6098246,127.0323907
139,본도시락 서울역점,"서울특별시 용산구 한강대로 351 (동자동, 미즈헤어)",37.5496231,126.9715181
140,본 죽&비빔밥 중앙대점,서울특별시 동작구 흑석로 91 (흑석동),37.5074209,126.9597493
141,본 죽&비빔밥 굽은다리역점,"서울특별시 강동구 상암로 195 (명일동, 에이플러스) 에이플러스 제1층 105호",37.5466253,127.1441985
142,본도시락 공덕역점,"서울특별시 마포구 백범로 205 (신공덕동, 마포펜트라우스)",37.5433349,126.953799
143,본 죽&비빔밥 노원점,"서울특별시 노원구 동일로217가길 35 (상계동, 보람빌딩)",37.6531273,127.0584492
144,본 죽&비빔밥 관악구청점,"서울특별시 관악구 관악로 144 (봉천동, 우남네오폴리스) 1층 106호",37.4779433,126.9526208
145,본 죽&비빔밥 대치롯데점,"서울특별시 강남구 도곡로 405 (대치동, 삼환 아르누보2) A동 104호",37.4973826,127.0547242
146,본도시락 일원점,서울특별시 강남구 일원로9길 30 (일원동) 104호,37.4899538,127.0841188
147,본도시락 구로역점,서울특별시 구로구 구로중앙로 223 (구로동),37.5054551,126.8765387
148,본 죽&비빔밥 관악우체국점,"서울특별시 관악구 남부순환로 1637 (신림동, 건중빌딩)",37.4849078,126.9326408
149,본도시락 목동점,서울특별시 양천구 신월로 370 (신정동) 1층,37.5219407,126.8621633
150,본 죽&비빔밥 노량진점,"서울특별시 동작구 만양로 81 (노량진동, 문화독서실)",37.5108098,126.9444594
151,본죽 신대방역점,서울특별시 관악구 신사로 94 (신림동),37.4866677,126.913178
152,본 죽&비빔밥 명일동점,서울특별시 강동구 동남로73길 13 (명일동) 104호,37.5527561,127.1554486
153,본 죽&비빔밥 은평뉴타운점,"서울특별시 은평구 진관3로 11 (진관동, 은평뉴타운힐데스하임) 101동 106호",37.6394039,126.9182748
154,본도시락 서소문점,"서울특별시 서대문구 서소문로 27 (충정로3가, 충정리시온) 109호",37.5603171,126.964858
155,본죽 동부이촌동점,"서울특별시 용산구 이촌로 182 (이촌동, 기업은행) 115호",37.5212305,126.9673853
156,본죽 노원7단지점,"서울특별시 노원구 상계로1길 14-11 (상계동, 하이웰빙상가) 1층",37.6569219,127.0618369
157,본 죽&비빔밥 덕성여대점,서울특별시 도봉구 삼양로 534 (쌍문동),37.6507356,127.0133854
158,본도시락 종로3가점,서울특별시 중구 을지로9길 16 (수표동),37.5670158,126.9885202
159,본죽 등촌역점,"서울특별시 양천구 등촌로 206 (목동, 한울팰리스)",37.5480729,126.8635119
160,본 죽&비빔밥 은평성모병원점,"서울특별시 은평구 진관1로 21-39 (진관동, 메이플카운티)",37.6338708,126.9185774
161,본죽 상암하늘초교점,"서울특별시 마포구 월드컵북로 502 (상암동, 월드컵파크 프라자) 월드컵파크프라자 1층 113호",37.5850443,126.8798702
162,본 죽&비빔밥 창4동점,"서울특별시 도봉구 노해로69길 26 (창동, 창동시티월드) 창동씨티월드 1층",37.6536875,127.0509513
163,본 죽&비빔밥 문래홈플러스점,"서울특별시 영등포구 당산로 34 (문래동3가, 로데오 왘 쇼핑몰) 103호",37.5174632,126.8964938
164,본죽 고덕래미안점,서울특별시 강동구 동남로81길 94 (고덕동) 1층,37.5589391,127.152014
165,본 죽&비빔밥 신방화역점,"서울특별시 강서구 마곡중앙5로 81 (마곡동, 에스비타운)",37.567121,126.8185936
166,본도시락 이대점,서울특별시 서대문구 이화여대5길 15 (대현동),37.5582892,126.9447731
167,본 죽&비빔밥 우장산역점,"서울특별시 강서구 강서로 247 (화곡동, 선왕주내과의원) 1006-2호 1층 8호",37.547796,126.8360474
168,본도시락 금천구청점,"서울특별시 금천구 시흥대로 251 (시흥동, 도일산호시티빌)",37.4561082,126.8995727
169,본 죽&비빔밥 용문동점,서울특별시 용산구 새창로 106 (용문동),37.5379701,126.959862
170,본 죽&비빔밥 신도림점,서울특별시 구로구 경인로59길 8 (신도림동) 태영프라자 112호,37.5064034,126.8833762
171,본죽 은평뉴타운2지구점,"서울특별시 은평구 진관2로 77 (진관동, 은평뉴타운우물골) 206동 B111호",37.634604,126.9277837
172,본죽 대림역점,서울특별시 영등포구 도림로 124 (대림동) 대림2동 1116-1 102호,37.4922949,126.8962383
173,본 죽&비빔밥 이수점,서울특별시 동작구 동작대로27길 23 (사당동),37.487447,126.9806752
174,본죽 신금호역점,서울특별시 성동구 금호산길 66-1 (금호동2가),37.554059,127.0196887
175,본 죽&비빔밥 용산역아이파크몰점,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역) 용산역사 아이파크몰 4층",37.5297718,126.9647415
176,본죽 강동성심병원점,"서울특별시 강동구 성안로 155 (천호동, 강동역두산위브센티움) 101호",37.537231,127.1347625
177,본죽 방배상문고점,서울특별시 서초구 명달로 49,37.4817579,127.004721
178,본죽 남구로역점,서울특별시 구로구 디지털로31길 120 한신휴플러스아파트,37.4886875,126.8905999
